| table_name                     | rls_enabled | policy_count | has_workspace_policy | status |
| ------------------------------ | ----------- | ------------ | -------------------- | ------ |
| anomalies                      | true        | 3            | true                 | OK     |
| anvx_api_tokens                | true        | 2            | true                 | OK     |
| audit_log                      | true        | 2            | true                 | OK     |
| budget_policies                | true        | 2            | true                 | OK     |
| chart_of_accounts              | true        | 2            | true                 | OK     |
| copilot_approvals              | true        | 3            | true                 | OK     |
| document_transactions          | true        | 2            | true                 | OK     |
| documents                      | true        | 2            | true                 | OK     |
| incidents                      | true        | 3            | true                 | OK     |
| model_routing_rules            | true        | 2            | true                 | OK     |
| notification_events            | true        | 2            | true                 | OK     |
| notification_preferences       | true        | 2            | true                 | OK     |
| notification_settings          | true        | 2            | true                 | OK     |
| onboarding_state               | true        | 2            | true                 | OK     |
| pack_prices                    | true        | 2            | true                 | OK     |
| packs                          | true        | 2            | true                 | OK     |
| provider_csv_uploads           | true        | 2            | true                 | OK     |
| provider_keys                  | true        | 4            | true                 | OK     |
| reconciliation_candidates      | true        | 2            | true                 | OK     |
| reconciliation_categorizations | true        | 2            | true                 | OK     |
| reconciliation_flags           | true        | 2            | true                 | OK     |
| reconciliation_matches         | true        | 2            | true                 | OK     |
| routing_usage_records          | true        | 2            | true                 | OK     |
| shadow_recommendations         | true        | 2            | true                 | OK     |
| transactions                   | true        | 2            | true                 | OK     |
| usage_records                  | true        | 2            | true                 | OK     |
| workspace_invitations          | true        | 2            | true                 | OK     |
| workspace_members              | true        | 1            | true                 | OK     |
